date,open,high,low,close,volume
2025-02-28,378.3000,382.0000,377.4390,380.2000,16716863
2025-02-27,375.8000,381.3000,374.8960,379.4000,9043657
2025-02-26,376.6000,379.1000,376.1000,378.1000,10126300
2025-02-25,375.5000,377.4000,373.6200,375.5000,20791279
2025-02-24,375.9000,376.4000,372.0000,376.1000,29891119
2025-02-21,375.4000,377.8000,372.9000,374.1000,21949500
2025-02-20,381.7000,382.6000,374.0000,374.8000,28276910
2025-02-19,382.2000,385.1000,379.8000,380.9000,14086530
2025-02-18,393.3000,394.2000,382.3000,382.3000,23268119
2025-02-17,396.4000,397.1000,394.1000,397.0000,6494760
2025-02-14,395.9000,397.0000,393.1000,396.6000,22063869
2025-02-13,396.2000,397.6000,393.0000,395.4000,7892846
2025-02-12,393.2000,395.3000,389.6000,392.9000,8330221
2025-02-11,391.0000,398.1000,390.2000,394.5000,21900010
2025-02-10,387.0000,391.0000,387.0000,389.8000,11537070
2025-02-07,386.0000,389.5000,386.0000,387.3000,8884498
2025-02-06,389.3000,391.8000,387.0000,387.0000,11638850
2025-02-05,376.1000,387.8000,375.6000,387.6000,25475779
2025-02-04,372.1000,377.6000,370.9000,377.4000,11475890
2025-02-03,369.1000,372.8000,369.1000,372.4000,10232010
2025-01-31,373.3000,375.1000,371.4000,372.2000,15480340
2025-01-30,369.0000,374.5000,369.0000,373.7000,10603500
2025-01-29,370.4000,372.2000,368.6000,368.8000,14401810
2025-01-28,365.1000,371.7000,364.5000,370.6000,7488482
2025-01-27,359.9000,366.5000,359.6000,363.7000,18743811
2025-01-24,366.2000,367.5000,358.8000,360.0000,19544369
2025-01-23,370.2000,372.0560,365.1000,366.6000,49622930
2025-01-22,367.6000,371.3000,365.6000,370.2000,18550400
2025-01-21,366.1000,368.3000,365.2000,367.5000,9429421
2025-01-20,364.0000,366.7000,363.0330,366.7000,16618410
2025-01-17,363.0000,367.0000,361.8000,364.6000,19188939
2025-01-16,361.0000,361.9000,357.5000,361.0000,26333900
2025-01-15,356.8000,361.0000,355.9000,360.6000,16576020
2025-01-14,360.2000,360.8000,353.7000,356.6000,16460080
2025-01-13,359.4000,362.2000,358.2000,360.2000,16110200
2025-01-10,368.9000,369.3000,358.4000,359.7000,14778240
2025-01-09,362.0000,368.9000,354.5000,368.0000,22838801
2025-01-08,371.5000,375.1000,366.5880,370.0000,12120400
2025-01-07,370.6000,372.3000,365.1000,370.6000,15707630
2025-01-06,372.8000,373.9000,368.6000,373.0000,15179100
2025-01-03,372.2000,374.9000,371.6000,372.3000,9184231
2025-01-02,369.3000,373.3000,367.8000,372.7000,6901396
2024-12-31,365.4000,369.3000,364.6000,368.3000,4497597
2024-12-30,366.4000,367.9000,364.8000,365.6000,12322420
2024-12-27,368.5000,369.0000,366.0000,366.9000,5777308
2024-12-24,366.9000,369.3000,365.8000,368.5000,3125760
2024-12-23,364.8000,367.8000,362.4000,366.0000,6240708
2024-12-20,367.8000,368.9000,364.6000,366.4000,40046434
2024-12-19,371.2000,372.0880,368.2000,368.5000,22673910
2024-12-18,373.3000,375.7000,371.0000,372.9000,22537119
2024-12-17,371.0000,375.4000,370.5000,374.0000,11827790
2024-12-16,371.7000,375.2000,371.1000,373.1000,31124109
2024-12-13,370.5000,372.0000,369.7000,372.0000,8880496
2024-12-12,369.7000,371.8000,366.8000,370.6000,9255863
2024-12-11,366.9000,371.8000,366.8000,370.2000,31375391
2024-12-10,365.6000,370.3000,365.4000,368.6000,25395230
2024-12-09,367.2000,368.4000,363.9000,364.8000,7971825
2024-12-06,374.2000,374.7000,366.9000,366.9000,37731391
2024-12-05,375.3000,375.3000,371.6000,374.5000,21116189
2024-12-04,371.6000,374.9000,371.6000,373.0000,33294129
2024-12-03,366.7000,371.8000,366.7000,371.1000,9721258
2024-12-02,367.1000,369.2000,364.5000,366.7000,10480180
2024-11-29,365.0000,367.3000,363.2000,366.4000,14636670
2024-11-28,364.2000,367.7000,361.4000,366.2000,13745070
2024-11-27,351.1000,358.5000,351.0000,357.9000,32233840
2024-11-26,351.6000,354.6000,350.4000,350.4000,19234930
2024-11-25,353.6000,354.1000,348.1000,352.2000,52707480
2024-11-22,353.6000,355.7000,351.9000,353.4000,17830131
2024-11-21,349.0000,351.2000,347.6000,350.9000,45144699
2024-11-20,347.6000,350.7330,346.2000,348.6000,29447330
2024-11-19,348.4000,348.6000,345.1000,347.9000,11690600
2024-11-18,345.5000,347.9000,343.2000,347.9000,37056367
2024-11-15,341.0000,346.2000,340.4000,345.7000,16146060
2024-11-14,342.0000,344.4000,340.8000,341.9000,21563490
2024-11-13,341.5000,342.5000,338.2000,340.2000,23249510
2024-11-12,341.4000,342.1000,339.9000,341.8000,24920330
2024-11-11,345.6000,347.3000,342.8000,343.9000,17436920
2024-11-08,347.6000,348.6000,337.9000,345.2000,28039240
2024-11-07,357.2000,358.5000,348.5000,348.5000,19339900
2024-11-06,357.6000,361.3000,355.2000,357.3000,49713281
2024-11-05,350.9000,353.9000,350.3360,353.9000,18007990
2024-11-04,347.6000,353.9000,347.4000,351.8000,52229367
2024-11-01,343.4000,349.5000,343.0000,348.0000,25485369
2024-10-31,345.3000,346.2000,337.7000,342.2000,39121059
2024-10-30,345.8000,352.5000,345.6000,347.4000,18927789
2024-10-29,355.5000,356.4000,345.9000,348.2000,21246580
2024-10-28,353.7000,356.1000,351.7120,353.6000,16059050
2024-10-25,356.1000,357.4000,351.8720,352.8000,14308960
2024-10-24,354.9000,357.1000,353.4000,356.6000,12213550
2024-10-23,356.1000,359.5000,353.3000,353.6000,61376031
2024-10-22,356.1000,356.7000,352.5000,356.1000,15686160
2024-10-21,360.8000,361.8000,357.2000,357.2000,12405940
2024-10-18,360.3000,361.8000,357.3478,361.8000,56589312
2024-10-17,355.1000,363.3000,354.7000,362.1000,20336250
2024-10-16,358.1000,359.1000,353.9000,355.1000,18295240
2024-10-15,357.6000,358.7000,353.7000,356.6000,23149689
2024-10-14,356.5000,357.7000,354.5240,356.5000,14242810
2024-10-11,359.0000,359.5000,353.1000,357.2000,10673790
2024-10-10,359.4000,361.9000,357.4640,359.4000,10334440
2024-10-09,360.6000,364.9000,359.9000,364.3000,10353190
